"TABLE_NAME","CONSTRAINT_NAME","COLUMN_NAME","ORDINAL_POSITION","REFERENCED_TABLE_NAME","REFERENCED_COLUMN_NAME","UPDATE_RULE","DELETE_RULE"
"absensi","absensi_dikoreksi_oleh_foreign","dikoreksi_oleh","1","users","id","RESTRICT","SET NULL"
"absensi","absensi_user_id_foreign","user_id","1","users","id","RESTRICT","CASCADE"
"izin_absen","izin_absen_diproses_oleh_foreign","diproses_oleh","1","users","id","RESTRICT","SET NULL"
"izin_absen","izin_absen_user_id_foreign","user_id","1","users","id","RESTRICT","CASCADE"
"jadwal_libur","jadwal_libur_ibfk_1","user_id","1","users","id","RESTRICT","CASCADE"
"jadwal_libur","jadwal_libur_ibfk_2","diproses_oleh","1","users","id","RESTRICT","SET NULL"
"karyawan_tunjangan","karyawan_tunjangan_tunjangan_master_id_foreign","tunjangan_master_id","1","tunjangan_master","id","RESTRICT","CASCADE"
"karyawan_tunjangan","karyawan_tunjangan_user_id_foreign","user_id","1","users","id","RESTRICT","CASCADE"
"komplain_karyawan","fk_komplain_pencatat","dicatat_oleh","1","users","id","RESTRICT","RESTRICT"
"komplain_karyawan","fk_komplain_user","user_id","1","users","id","RESTRICT","CASCADE"
"libur_nasional","libur_nasional_ibfk_1","dibuat_oleh","1","users","id","RESTRICT","SET NULL"
"libur_nasional_piket","libur_nasional_piket_ibfk_1","libur_nasional_id","1","libur_nasional","id","RESTRICT","CASCADE"
"libur_nasional_piket","libur_nasional_piket_ibfk_2","user_id","1","users","id","RESTRICT","CASCADE"
"log_bensin","log_bensin_driver_id_foreign","driver_id","1","users","id","RESTRICT","CASCADE"
"log_bensin","log_bensin_kendaraan_id_foreign","kendaraan_id","1","kendaraan","id","RESTRICT","CASCADE"
"luar_kota","luar_kota_dibuat_oleh_foreign","dibuat_oleh","1","users","id","RESTRICT","CASCADE"
"luar_kota","luar_kota_user_id_foreign","user_id","1","users","id","RESTRICT","CASCADE"
"pembayaran_project","pembayaran_project_ibfk_1","id_project","1","projects","id","RESTRICT","CASCADE"
"pipeline_followups","pipeline_followups_pipeline_lead_id_foreign","pipeline_lead_id","1","pipeline_leads","id","RESTRICT","CASCADE"
"pipeline_followups","pipeline_followups_user_id_foreign","user_id","1","users","id","RESTRICT","CASCADE"
"pipeline_leads","pipeline_leads_input_oleh_foreign","input_oleh","1","users","id","RESTRICT","CASCADE"
"poin_kinerja","fk_poin_user","user_id","1","users","id","RESTRICT","CASCADE"
"project_material","project_material_ibfk_1","id_project","1","projects","id","RESTRICT","CASCADE"
"project_tim","project_tim_ibfk_1","id_project","1","projects","id","RESTRICT","CASCADE"
"rab_approval_request","rab_approval_request_ibfk_1","rab_id","1","rab_header","id","RESTRICT","CASCADE"
"rab_item","rab_item_ibfk_1","rab_id","1","rab_header","id","RESTRICT","CASCADE"
"rab_items","rab_items_ibfk_1","id_project","1","projects","id","RESTRICT","CASCADE"
"rab_selisih_komponen","rab_selisih_komponen_ibfk_1","selisih_id","1","rab_selisih","id","RESTRICT","CASCADE"
"rab_ttd","rab_ttd_ibfk_1","rab_id","1","rab_header","id","RESTRICT","CASCADE"
"rab_versi","rab_versi_ibfk_1","rab_id","1","rab_header","id","RESTRICT","CASCADE"
"rapor_karyawan","fk_rapor_user","user_id","1","users","id","RESTRICT","CASCADE"
"registrasi_token","registrasi_token_user_id_foreign","user_id","1","users","id","RESTRICT","CASCADE"
"sp_karyawan","fk_sp_konfirmasi","dikonfirmasi_oleh","1","users","id","RESTRICT","SET NULL"
"sp_karyawan","fk_sp_user","user_id","1","users","id","RESTRICT","CASCADE"
"tugas_assignee","tugas_assignee_tugas_id_foreign","tugas_id","1","tugas_harian","id","RESTRICT","CASCADE"
"tugas_assignee","tugas_assignee_user_id_foreign","user_id","1","users","id","RESTRICT","CASCADE"
"tugas_harian","tugas_harian_dibuat_oleh_foreign","dibuat_oleh","1","users","id","RESTRICT","CASCADE"
"ujian_jawaban","fk_jawaban_sesi","sesi_id","1","ujian_sesi","id","RESTRICT","CASCADE"
"ujian_jawaban","fk_jawaban_soal","soal_id","1","ujian_soal","id","RESTRICT","RESTRICT"
"ujian_sesi","fk_sesi_user","user_id","1","users","id","RESTRICT","CASCADE"
"ujian_soal","fk_soal_pembuat","dibuat_oleh","1","users","id","RESTRICT","RESTRICT"
