"TABLE_NAME","INDEX_NAME","NON_UNIQUE","SEQ_IN_INDEX","COLUMN_NAME","COLLATION","CARDINALITY","SUB_PART","NULLABLE","INDEX_TYPE"
"absensi","absensi_dikoreksi_oleh_foreign","1","1","dikoreksi_oleh","A","4",NULL,"YES","BTREE"
"absensi","absensi_user_id_tanggal_unique","0","1","user_id","A","35",NULL,,"BTREE"
"absensi","absensi_user_id_tanggal_unique","0","2","tanggal","A","665",NULL,,"BTREE"
"absensi","PRIMARY","0","1","id","A","665",NULL,,"BTREE"
"cache","cache_expiration_index","1","1","expiration","A","0",NULL,,"BTREE"
"cache","PRIMARY","0","1","key","A","0",NULL,,"BTREE"
"cache_locks","cache_locks_expiration_index","1","1","expiration","A","0",NULL,,"BTREE"
"cache_locks","PRIMARY","0","1","key","A","0",NULL,,"BTREE"
"failed_jobs","failed_jobs_connection_queue_failed_at_index","1","1","connection","A","0",NULL,,"BTREE"
"failed_jobs","failed_jobs_connection_queue_failed_at_index","1","2","queue","A","0",NULL,,"BTREE"
"failed_jobs","failed_jobs_connection_queue_failed_at_index","1","3","failed_at","A","0",NULL,,"BTREE"
"failed_jobs","failed_jobs_uuid_unique","0","1","uuid","A","0",NULL,,"BTREE"
"failed_jobs","PRIMARY","0","1","id","A","0",NULL,,"BTREE"
"izin_absen","izin_absen_diproses_oleh_foreign","1","1","diproses_oleh","A","7",NULL,"YES","BTREE"
"izin_absen","izin_absen_user_id_foreign","1","1","user_id","A","15",NULL,,"BTREE"
"izin_absen","PRIMARY","0","1","id","A","15",NULL,,"BTREE"
"jadwal_libur","diproses_oleh","1","1","diproses_oleh","A","3",NULL,"YES","BTREE"
"jadwal_libur","PRIMARY","0","1","id","A","3",NULL,,"BTREE"
"jadwal_libur","user_id","1","1","user_id","A","3",NULL,,"BTREE"
"jobs","jobs_queue_index","1","1","queue","A","0",NULL,,"BTREE"
"jobs","PRIMARY","0","1","id","A","0",NULL,,"BTREE"
"job_batches","PRIMARY","0","1","id","A","0",NULL,,"BTREE"
"karyawan_tunjangan","karyawan_tunjangan_tunjangan_master_id_foreign","1","1","tunjangan_master_id","A","14",NULL,,"BTREE"
"karyawan_tunjangan","karyawan_tunjangan_user_id_foreign","1","1","user_id","A","28",NULL,,"BTREE"
"karyawan_tunjangan","PRIMARY","0","1","id","A","28",NULL,,"BTREE"
"kasbon","PRIMARY","0","1","id","A","4",NULL,,"BTREE"
"kendaraan","PRIMARY","0","1","id","A","0",NULL,,"BTREE"
"kerja_hari_libur","kerja_hari_libur_tanggal_index","1","1","tanggal","A","0",NULL,,"BTREE"
"kerja_hari_libur","kerja_hari_libur_user_tanggal_unique","0","1","user_id","A","0",NULL,,"BTREE"
"kerja_hari_libur","kerja_hari_libur_user_tanggal_unique","0","2","tanggal","A","0",NULL,,"BTREE"
"kerja_hari_libur","PRIMARY","0","1","id","A","0",NULL,,"BTREE"
"kode_absen","kode_absen_tanggal_user_unique","0","1","tanggal","A","230",NULL,,"BTREE"
"kode_absen","kode_absen_tanggal_user_unique","0","2","user_id","A","230",NULL,"YES","BTREE"
"kode_absen","PRIMARY","0","1","id","A","230",NULL,,"BTREE"
"komplain_karyawan","fk_komplain_pencatat","1","1","dicatat_oleh","A","0",NULL,,"BTREE"
"komplain_karyawan","idx_user_tanggal","1","1","user_id","A","0",NULL,,"BTREE"
"komplain_karyawan","idx_user_tanggal","1","2","tanggal","A","0",NULL,,"BTREE"
"komplain_karyawan","PRIMARY","0","1","id","A","0",NULL,,"BTREE"
"kpi_setting","PRIMARY","0","1","id","A","16",NULL,,"BTREE"
"kpi_setting","unique_key","0","1","key_setting","A","16",NULL,,"BTREE"
"levels","PRIMARY","0","1","id","A","7",NULL,,"BTREE"
"libur_nasional","dibuat_oleh","1","1","dibuat_oleh","A","1",NULL,"YES","BTREE"
"libur_nasional","PRIMARY","0","1","id","A","1",NULL,,"BTREE"
"libur_nasional_piket","libur_nasional_id","1","1","libur_nasional_id","A","2",NULL,,"BTREE"
"libur_nasional_piket","PRIMARY","0","1","id","A","2",NULL,,"BTREE"
"libur_nasional_piket","user_id","1","1","user_id","A","2",NULL,,"BTREE"
"log_bensin","log_bensin_driver_id_foreign","1","1","driver_id","A","0",NULL,,"BTREE"
"log_bensin","log_bensin_kendaraan_id_foreign","1","1","kendaraan_id","A","0",NULL,,"BTREE"
"log_bensin","log_bensin_tanggal_index","1","1","tanggal","A","0",NULL,,"BTREE"
"log_bensin","PRIMARY","0","1","id","A","0",NULL,,"BTREE"
"luar_kota","luar_kota_dibuat_oleh_foreign","1","1","dibuat_oleh","A","0",NULL,,"BTREE"
"luar_kota","luar_kota_tanggal_index","1","1","tanggal_mulai","A","0",NULL,,"BTREE"
"luar_kota","luar_kota_tanggal_index","1","2","tanggal_selesai","A","0",NULL,,"BTREE"
"luar_kota","luar_kota_user_id_foreign","1","1","user_id","A","0",NULL,,"BTREE"
"luar_kota","PRIMARY","0","1","id","A","0",NULL,,"BTREE"
"master_material","PRIMARY","0","1","id","A","232",NULL,,"BTREE"
"migrations","PRIMARY","0","1","id","A","11",NULL,,"BTREE"
"password_reset_tokens","PRIMARY","0","1","email","A","0",NULL,,"BTREE"
"pembayaran_project","id_project","1","1","id_project","A","0",NULL,,"BTREE"
"pembayaran_project","PRIMARY","0","1","id","A","0",NULL,,"BTREE"
"pipeline_followups","pipeline_followups_pipeline_lead_id_foreign","1","1","pipeline_lead_id","A","2",NULL,,"BTREE"
"pipeline_followups","pipeline_followups_user_id_foreign","1","1","user_id","A","2",NULL,,"BTREE"
"pipeline_followups","PRIMARY","0","1","id","A","2",NULL,,"BTREE"
"pipeline_leads","pipeline_leads_input_oleh_foreign","1","1","input_oleh","A","10",NULL,,"BTREE"
"pipeline_leads","PRIMARY","0","1","id","A","10",NULL,,"BTREE"
"poin_kinerja","idx_bulan_tahun","1","1","bulan","A","2",NULL,,"BTREE"
"poin_kinerja","idx_bulan_tahun","1","2","tahun","A","2",NULL,,"BTREE"
"poin_kinerja","PRIMARY","0","1","id","A","2",NULL,,"BTREE"
"poin_kinerja","unique_kpi_bulan","0","1","user_id","A","2",NULL,,"BTREE"
"poin_kinerja","unique_kpi_bulan","0","2","bulan","A","2",NULL,,"BTREE"
"poin_kinerja","unique_kpi_bulan","0","3","tahun","A","2",NULL,,"BTREE"
"potongan_insidental","PRIMARY","0","1","id","A","0",NULL,,"BTREE"
"projects","PRIMARY","0","1","id","A","3",NULL,,"BTREE"
"project_material","id_project","1","1","id_project","A","0",NULL,,"BTREE"
